"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","entry_code","entry_date","exit_code","exit_date","AniGenId","AniBirthday","AniMotherLifeNumber","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield"
"29","77",1,1,2014-06-09,337,"NULL",2014-06-16,2014-06-10,2015-02-09,244,5745.048543,24.251639,553.980571,1431.844631,877.86406,4.161469,3.46804,2015-02-09,98,"FR4401572111","N",2012-05-06,"M",2019-10-27,2,2012-05-06,"",FALSE,5509.501552737,23.257321801,531.267367589,1373.139001129,841.87163354
"30","53",2,2,2014-06-19,338,"NULL",2014-06-26,2014-06-19,2015-03-18,272,9940,37.640441,1117.572801,2811.553367,1693.980566,4.013296,3.165494,2015-03-18,84,"FR4401572082","N",2011-05-14,"B",2020-02-11,2,2011-05-14,"",FALSE,9532.46,36.097182919,1071.752316159,2696.279678953,1624.527362794
"31","19",5,2,2014-06-21,340,"NULL",2014-06-28,2014-06-21,2015-02-17,241,9233.592233,39.46307,1182.42717,2527.572789,1345.145619,4.557396,3.446694,2015-02-17,NA,"FR4401572002",NA,NA,NA,NA,NA,2008-01-07,NA,FALSE,8855.014951447,37.84508413,1133.94765603,2423.942304651,1289.994648621
"32","35",3,2,2014-06-22,342,"NULL",2014-06-29,2014-06-22,2014-11-05,136,4861.067961,36.815441,770.58251,2566.504823,1795.922313,4.115547,3.459562,2014-11-05,NA,"FR4401572054",NA,NA,NA,NA,NA,2010-02-25,NA,FALSE,4661.764174599,35.306007919,738.98862709,2461.278125257,1722.289498167
"33","37",3,2,2014-06-24,343,"NULL",2014-07-01,2014-06-26,2015-06-24,363,14730.097087,41.796143,1120.97086,3015.436865,1894.466005,4.456785,3.308736,2015-06-24,NA,"FR4401572056",NA,NA,NA,NA,NA,2010-03-25,NA,FALSE,14126.163106433,40.082501137,1075.01105474,2891.803953535,1816.792898795
"34","76",1,1,2014-07-07,345,"NULL",2014-07-10,2014-07-08,2015-07-20,377,12376.504854,33.813793,873.495134,2187.572786,1314.077652,4.218571,3.079179,2015-07-20,40,"FR4401572108","N",2012-04-12,"B",2018-03-14,2,2012-04-12,"",FALSE,11869.068154986,32.427427487,837.681833506,2097.882301774,1260.200468268
"35","52",2,2,2014-07-14,346,"NULL",2014-07-21,2014-07-15,2015-05-28,317,9872.912621,32.079179,1152.135908,2328.83492,1176.699012,4.857893,3.442955,2015-05-28,63,"FR4401572080","N",2011-04-21,"B",2019-11-19,2,2011-04-21,"",FALSE,9468.123203539,30.763932661,1104.898335772,2233.35268828,1128.454352508
"36","97",1,1,2014-07-21,348,"NULL",2014-07-23,2014-07-21,2015-06-24,338,8601.359223,26.211242,716.116491,1672.524242,956.407751,4.398584,3.17643,2015-06-24,70,"FR4401572115","N",2012-07-08,"B",2020-11-02,2,2012-07-08,"",FALSE,8248.703494857,25.136581078,686.755714869,1603.950748078,917.195033209
"37","14",5,2,2014-08-02,349,"NULL",2014-08-09,2014-08-02,2015-07-28,360,12259.029126,35.074444,1089.223286,2376.796085,1287.572799,4.546509,3.117451,2015-07-28,NA,"FR4401571289",NA,NA,NA,NA,NA,2007-03-01,NA,FALSE,11756.408931834,33.636391796,1044.565131274,2279.347445515,1234.782314241
"38","7",8,2,2014-08-05,351,"NULL",2014-08-12,2014-08-06,2015-02-03,181,6878.349514,39.141988,1097.475716,2579.417444,1481.941728,4.395439,3.057912,2015-02-03,NA,"FR4401571239",NA,NA,NA,NA,NA,2004-11-19,NA,FALSE,6596.337183926,37.537166492,1052.479211644,2473.661328796,1421.182117152
