CowID,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,still_milking,AniLifeNumber
708,3,3,2024-09-05 00:00:00.000,2024-09-06 00:00:00.000,2024-09-19 00:00:00.000,13,537.6,4.810714,3.933571,2024-09-19 00:00:00.000,NULL,1,FR 4404288466
709,1,1,2022-11-13 00:00:00.000,2022-11-14 00:00:00.000,2023-09-29 00:00:00.000,319,10330.2,4.644093,3.245156,2023-09-29 00:00:00.000,61,0,FR 4404288467
709,2,2,2023-11-28 00:00:00.000,2023-11-29 00:00:00.000,2023-12-05 00:00:00.000,6,135.0,4.244285,4.458571,2023-12-05 00:00:00.000,NULL,1,FR 4404288467
710,1,1,2022-11-07 00:00:00.000,2022-11-08 00:00:00.000,2023-10-07 00:00:00.000,333,9962.0,4.615885,3.408738,2023-10-07 00:00:00.000,59,0,FR 4404288468
710,2,2,2023-12-05 00:00:00.000,2023-12-05 00:00:00.000,2024-09-13 00:00:00.000,283,11857.0,4.537253,3.423239,2024-09-13 00:00:00.000,NULL,1,FR 4404288468
711,1,1,2022-10-17 00:00:00.000,2022-10-18 00:00:00.000,2023-07-21 00:00:00.000,276,8157.9,4.231407,3.585595,2023-07-21 00:00:00.000,45,0,FR 4404288469
711,2,2,2023-09-03 00:00:00.000,2023-09-04 00:00:00.000,2023-10-10 00:00:00.000,36,1134.1,4.226756,3.668378,2023-10-10 00:00:00.000,NULL,1,FR 4404288469
712,1,1,2022-11-02 00:00:00.000,2022-11-03 00:00:00.000,2023-12-15 00:00:00.000,407,11605.4,4.680368,3.514004,2023-12-15 00:00:00.000,67,0,FR 4404288470
712,2,2,2024-02-20 00:00:00.000,2024-02-20 00:00:00.000,2024-09-19 00:00:00.000,212,10181.7,3.921830,3.348309,2024-09-19 00:00:00.000,NULL,1,FR 4404288470
713,1,1,2022-11-05 00:00:00.000,2022-11-05 00:00:00.000,2023-09-08 00:00:00.000,307,10338.0,4.430324,3.176071,2023-09-08 00:00:00.000,NULL,1,FR 4404288471
714,1,1,2023-01-12 00:00:00.000,2023-01-13 00:00:00.000,2023-10-15 00:00:00.000,275,9389.7,3.975036,3.524710,2023-10-15 00:00:00.000,NULL,1,FR 4404288472
715,1,1,2023-02-05 00:00:00.000,2023-02-06 00:00:00.000,2024-04-12 00:00:00.000,431,15300.7,4.236898,3.351921,2024-04-12 00:00:00.000,117,0,FR 4404288473
715,2,2,2024-08-06 00:00:00.000,2024-08-07 00:00:00.000,2024-09-19 00:00:00.000,43,1802.0,3.475000,3.386136,2024-09-19 00:00:00.000,NULL,1,FR 4404288473
716,1,1,2023-03-30 00:00:00.000,2023-03-31 00:00:00.000,2023-10-20 00:00:00.000,203,5506.4,5.163842,3.364088,2023-10-20 00:00:00.000,135,0,FR 4404288474
716,2,2,2024-03-02 00:00:00.000,2024-03-03 00:00:00.000,2024-09-19 00:00:00.000,200,7382.1,4.934378,3.511741,2024-09-19 00:00:00.000,NULL,1,FR 4404288474
717,1,1,2022-12-06 00:00:00.000,2022-12-06 00:00:00.000,2023-09-22 00:00:00.000,290,9700.6,4.335807,3.528659,2023-09-22 00:00:00.000,51,0,FR 4404288475
717,2,2,2023-11-11 00:00:00.000,2023-11-12 00:00:00.000,2024-09-19 00:00:00.000,312,13666.4,4.215718,3.576773,2024-09-19 00:00:00.000,NULL,1,FR 4404288475
718,2,2,2023-12-16 00:00:00.000,2023-12-16 00:00:00.000,2024-09-19 00:00:00.000,278,12278.7,4.659139,3.392831,2024-09-19 00:00:00.000,NULL,1,FR 4404288476
718,1,1,2023-01-17 00:00:00.000,2023-01-17 00:00:00.000,2023-10-27 00:00:00.000,283,10212.1,4.597429,3.287464,2023-10-27 00:00:00.000,50,0,FR 4404288476
719,1,1,2022-12-26 00:00:00.000,2022-12-26 00:00:00.000,2023-12-01 00:00:00.000,340,10256.8,4.778647,3.407764,2023-12-01 00:00:00.000,57,0,FR 4404288477
719,2,2,2024-01-27 00:00:00.000,2024-01-27 00:00:00.000,2024-09-19 00:00:00.000,236,10627.4,4.730168,3.158523,2024-09-19 00:00:00.000,NULL,1,FR 4404288477
720,1,1,2023-01-02 00:00:00.000,2023-01-02 00:00:00.000,2023-10-07 00:00:00.000,278,6798.4,4.931588,3.341624,2023-10-07 00:00:00.000,67,0,FR 4404288478
720,2,2,2023-12-13 00:00:00.000,2023-12-13 00:00:00.000,2024-09-18 00:00:00.000,280,8877.7,5.001601,3.367188,2024-09-18 00:00:00.000,NULL,1,FR 4404288478
