"","AniId","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacId","LacRemarks","LacColostrumDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","avg_daily_yield","early_lactation_yield","mid_lactation_yield","delta_early_mid_yield","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","AniLifeNumber","AniActive","AniGenId","AniBirthday","AniMotherLifeNumber","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year","still_milking","est_deliver_total_milk_L","est_deliver_avg_daily_yield","est_deliver_early_lactation_yield","est_deliver_mid_lactation_yield","est_deliver_delta_lactation_yield","age_at_calving","n_insem","first_pregnancy","n_insem_flag","n_failed_insem","last_lactation","calving_to_insem_days","n_failed_pregnancies","calving_interval_days","calving_interval_reason"
"31",17,4,1,2017-01-21,480,"Reforme. problème de pattes",2017-01-26,2017-01-21,2017-08-25,216,6182.718446,29.482407,974.077654,2051.456283,1077.378629,3.320697,3.360232,2017-08-25,NA,"FR4404288079",FALSE,2,2011-06-18,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-06-18,"B",2018-03-26,1,2015,FALSE,5929.226989714,28.273628313,934.140470186,1967.346575397,1033.206105211,67,3,FALSE,"recorded",2,TRUE,76,1,NA,"no subsequent calving"
"32",89,1,1,2017-01-25,481,"",2017-01-30,2017-01-25,2017-05-12,107,2926.796116,28.173831,869.611638,1723.106765,853.495127,4.536111,3.520833,2017-05-12,NA,"FR4404288172",FALSE,2,2014-09-11,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-01-23,"N",2014-09-11,"B",2017-08-14,1,2017,FALSE,2806.797475244,27.018703929,833.957560842,1652.459387635,818.501826793,28,NA,TRUE,"first pregnancy",NA,TRUE,NA,0,NA,"no subsequent calving"
"33",40,3,2,2017-01-28,482,"pas lait quartier AR G",2017-02-04,2017-01-28,2018-02-13,381,10314.951456,27.885564,579.902898,1860.970843,1281.067945,5.242827,3.286308,2018-02-13,55,"FR4404288115",FALSE,2,2012-09-17,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2012-09-17,"M",2020-01-03,1,2015,FALSE,9892.038446304,26.742255876,556.126879182,1784.671038437,1228.544159255,52,4,FALSE,"recorded",3,FALSE,67,2,436,"recorded"
"34",97,1,1,2017-02-08,484,"NULL",2017-02-15,2017-02-08,2017-03-31,51,1096.310679,22.141176,575.339791,520.970862,-54.368929,3.832745,3.590784,2017-03-31,NA,"FR4404288181",FALSE,2,2014-11-05,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-02-08,"N",2014-11-05,"E",2017-03-31,2,2017,FALSE,1051.361941161,21.233387784,551.750859569,499.611056658,-52.139802911,27,NA,TRUE,"first pregnancy",NA,TRUE,NA,0,NA,"no subsequent calving"
"35",52,2,2,2017-02-14,487,"pas de traitement",2017-02-21,2017-02-14,2018-03-31,410,12743.980582,32.015365,979.999987,2210.776668,1230.776681,4.963552,3.509805,2018-03-31,69,"FR4404288132",FALSE,2,2013-08-18,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2016-01-09,"N",2013-08-18,"B",2019-12-02,1,2016,FALSE,12221.477378138,30.702735035,939.819987533,2120.134824612,1180.314837079,41,2,FALSE,"recorded",1,FALSE,177,1,479,"recorded"
"36",100,1,1,2017-02-15,489,"NULL",2017-02-22,2017-02-16,2017-03-31,43,1232.135922,29.513953,732.427169,499.708728,-232.718441,4.648636,3.380909,2017-03-31,NA,"FR4404288184",FALSE,2,2014-12-01,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-02-15,"N",2014-12-01,"E",2017-03-31,2,2017,FALSE,1181.618349198,28.303880927,702.397655071,479.220670152,-223.176984919,26,NA,TRUE,"first pregnancy",NA,TRUE,NA,0,NA,"no subsequent calving"
"37",104,1,1,2017-02-22,491,"",2017-03-01,2017-02-22,2017-12-01,282,7510,27.430141,679.029111,1807.766962,1128.737851,3.139893,3.091413,2017-12-01,12,"FR4404288188",FALSE,2,2014-12-22,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-02-22,"N",2014-12-22,"B",2020-08-05,2,2017,FALSE,7202.09,26.305505219,651.188917449,1733.648516558,1082.459599109,26,1,TRUE,"recorded",0,FALSE,62,0,294,"recorded"
"38",95,1,1,2017-02-23,492,"",2017-03-02,2017-02-24,2017-12-12,291,7805.825242,27.628865,634.757264,1867.4757,1232.718436,3.435513,3.120582,2017-12-12,50,"FR4404288178",FALSE,2,2014-10-22,"FR4963097406","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-02-23,NA,NA,"B",2020-04-20,2,2017,FALSE,7485.786407078,26.496081535,608.732216176,1790.9091963,1182.176980124,28,1,TRUE,"recorded",0,FALSE,67,0,341,"recorded"
"39",102,1,1,2017-03-04,493,"NULL",2017-03-11,2017-03-05,2017-03-31,26,690.291262,27.346153,690.291248,0,-690.291248,3.726296,3.469259,2017-03-31,NA,"FR4404288186",FALSE,2,2014-12-16,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-03-04,"N",2014-12-16,"E",2017-03-31,3,2017,FALSE,661.989320258,26.224960727,661.989306832,0,-661.989306832,26,NA,TRUE,"first pregnancy",NA,TRUE,NA,0,NA,"no subsequent calving"
"40",98,1,1,2017-03-08,494,"NULL",2017-03-15,2017-03-08,2017-03-31,23,593.30097,26.569565,593.300958,0,-593.300958,4.3225,3.94125,2017-03-31,NA,"FR4404288182",FALSE,2,2014-11-16,"","VL","16450bc2-f930-4052-a3f7-a602646e64cc",2017-03-08,"N",2014-11-16,"E",2017-03-31,3,2017,FALSE,568.97563023,25.480212835,568.975618722,0,-568.975618722,27,NA,TRUE,"first pregnancy",NA,TRUE,NA,0,NA,"no subsequent calving"
