AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288145,2017-01,742.912621
FR 4404288146,2017-01,673.786407
FR 4404288149,2017-01,853.786407
FR 4404288150,2017-01,637.378640
FR 4404288151,2017-01,662.912621
FR 4404288153,2017-01,576.504854
FR 4404288154,2017-01,796.019417
FR 4404288155,2017-01,1023.786407
FR 4404288156,2017-01,843.592233
FR 4404288157,2017-01,838.252427
FR 4404288158,2017-01,863.786407
FR 4404288159,2017-01,877.572815
FR 4404288161,2017-01,711.262135
FR 4404288162,2017-01,1000.485436
FR 4404288163,2017-01,1175.436893
FR 4404288164,2017-01,1017.766990
FR 4404288165,2017-01,534.077669
FR 4404288167,2017-01,1103.786407
FR 4404288168,2017-01,1238.155339
FR 4404288169,2017-01,1099.902912
FR 4404288172,2017-01,144.077669
FR 4404288174,2017-01,968.543689
FR 4404288175,2017-01,950.679611
FR 4404288176,2017-01,1211.747572
FR 4404288177,2017-01,1035.825242
FR 4404288180,2017-01,764.951456
FR 4404288183,2017-01,167.961165
FR 4404288185,2017-01,880.873786
FR 4404658920,2017-01,1012.718446
FR 4404658938,2017-01,802.330097
FR 4404658982,2017-01,999.708737
FR 4404659023,2017-01,1289.223300
FR 4404659034,2017-01,876.504854
FR 4454691592,2017-01,1041.844660
FR 4454691593,2017-01,1464.466019
FR 4912264927,2017-01,776.699029
FR 4945368325,2017-01,655.728155
FR 4950954269,2017-01,849.708737
FR 4950954270,2017-01,588.155339
FR 4954667338,2017-01,95.242718
FR 4956691421,2017-01,631.359223
FR 4958880362,2017-01,828.543689
FR 4958880363,2017-01,645.631067
FR 4963097404,2017-01,1104.174757
FR 4968695856,2017-01,143.300970
FR 4404288019,2017-02,476.601941
FR 4404288028,2017-02,539.708737
FR 4404288029,2017-02,677.572815
FR 4404288045,2017-02,545.825242
FR 4404288050,2017-02,1289.805825
FR 4404288063,2017-02,659.902912
FR 4404288068,2017-02,1114.174757
FR 4404288069,2017-02,694.854368
FR 4404288073,2017-02,989.223300
FR 4404288075,2017-02,898.932038
FR 4404288079,2017-02,1052.427184
FR 4404288080,2017-02,882.621359
FR 4404288081,2017-02,484.466019
FR 4404288082,2017-02,720.194174
FR 4404288083,2017-02,753.300970
FR 4404288088,2017-02,809.126213
FR 4404288094,2017-02,557.378640
FR 4404288097,2017-02,821.941747
FR 4404288098,2017-02,876.601941
