AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
107,2,3,2016-05-20 00:00:00.000,538,,2016-05-27 14:44:00.000,2016-05-20 00:00:00.000,2017-08-01 00:00:00.000,438,13483.592233,31.707990,1136.893188,2386.407741,1249.514553,4.549266,3.353394,2017-08-01 00:00:00.000,58,FR 4401572129
107,3,4,2017-09-28 00:00:00.000,690,,2017-10-03 19:48:00.000,2017-09-28 00:00:00.000,2018-12-27 00:00:00.000,455,15513.883495,35.119340,1251.262122,2454.854339,1203.592217,NULL,NULL,2018-12-27 00:00:00.000,86,FR 4401572129
107,4,5,2019-03-23 00:00:00.000,874,NULL,2019-03-28 07:50:00.000,2019-03-23 00:00:00.000,2019-03-31 00:00:00.000,8,270.097087,34.775000,270.097082,0.000000,-270.097082,NULL,NULL,2019-03-31 00:00:00.000,NULL,FR 4401572129
108,1,1,2015-04-07 00:00:00.000,441,NULL,2015-04-14 09:41:00.000,2015-04-07 00:00:00.000,2016-01-28 00:00:00.000,296,7828.058252,27.239527,713.689306,1785.631041,1071.941735,4.873198,3.009595,2016-01-28 00:00:00.000,54,FR 4401572131
108,2,2,2016-03-22 00:00:00.000,530,NULL,2016-03-29 19:16:00.000,2016-03-22 00:00:00.000,2016-12-04 00:00:00.000,257,8609.902912,34.506614,1075.922313,2367.378612,1291.456299,4.214736,2.968526,2016-12-04 00:00:00.000,71,FR 4401572131
108,3,3,2017-02-13 00:00:00.000,628,,2017-02-18 12:49:00.000,2017-02-13 00:00:00.000,2017-10-31 00:00:00.000,260,7860.679611,31.140384,974.174743,1933.495117,959.320374,3.130000,4.840000,2017-10-31 00:00:00.000,90,FR 4401572131
108,4,4,2018-01-29 00:00:00.000,740,NULL,2018-02-03 14:39:00.000,2018-01-29 00:00:00.000,2018-04-27 00:00:00.000,88,2843.398058,33.280681,836.310664,2007.087351,1170.776687,NULL,NULL,2018-04-27 00:00:00.000,NULL,FR 4401572131
109,1,1,2015-04-06 00:00:00.000,439,NULL,2015-04-13 09:34:00.000,2015-04-06 00:00:00.000,2016-03-28 00:00:00.000,357,9933.689320,28.660224,825.242702,1839.999967,1014.757265,4.476759,3.178938,2016-03-28 00:00:00.000,163,FR 4401572132
109,2,2,2016-09-07 00:00:00.000,569,NULL,2016-09-14 10:07:00.000,2016-09-07 00:00:00.000,2017-08-01 00:00:00.000,328,10081.650485,31.658841,906.407752,2071.359190,1164.951438,3.977564,3.395512,2017-08-01 00:00:00.000,NULL,FR 4401572132
110,1,1,2015-12-08 00:00:00.000,502,NULL,2015-12-12 10:25:00.000,2015-12-09 00:00:00.000,2017-01-31 00:00:00.000,419,12871.165048,31.640334,735.242705,2168.349487,1433.106782,4.740351,3.217148,2017-01-31 00:00:00.000,NULL,FR 4401572134
