"","InsId","InsNumber","InsDate","InsSirId","InsChargeNumber","InsSequenceNumber","InsLacId","InsConId","InsRemarks","AniLifeNumber","AniBirthday","AniKeep","AniGenId","AniActive","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","milk_production_start_date","milk_production_end_date","lactation_duration","total_milk_production","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacAniId","LacRemarks","LacColostrumDate","PreDate","PreRemark","successful_insem"
"2874",3890,2,2022-12-06,415,NA,1,1629,0,NA,"FR4404288512",2021-06-25,TRUE,2,TRUE,"FR 4404288402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,"",TRUE
"2875",3891,2,2022-12-08,409,NA,1,1650,0,NA,"FR4404288516",2021-07-18,TRUE,2,TRUE,"FR 4404288403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,"",TRUE
"2876",3892,3,2022-12-08,404,NA,1,1648,0,NA,"FR4404288514",2021-07-12,TRUE,2,FALSE,"FR 4404288273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-10,"",TRUE
"2877",3893,1,2022-12-08,118,NA,1,1933,0,NA,"FR4404288220",2015-11-30,TRUE,2,TRUE,"FR 4954667338",5,5,2022-09-20,"2022-09-20 00:00:00.000","2023-12-15 00:00:00.000",451,18736,"4.150995","3.328783","2023-12-15 00:00:00.000","59",0,"156","Orbenor + orbeseal 4 Q",2022-09-27 11:10:00,2023-02-06,"",TRUE
"2878",3894,6,2022-12-09,324,NA,1,1791,0,NA,"FR4404288318",2017-11-25,TRUE,2,TRUE,"FR 4404658982",2,2,2022-01-05,"2022-01-05 00:00:00.000","2023-04-22 00:00:00.000",472,18650.5,"5.226448","3.427293","2023-04-22 00:00:00.000","136",0,"289","",2022-01-09 07:57:00,2023-01-10,"",TRUE
"2879",3895,1,2022-12-09,386,NA,1,1939,0,NA,"FR4404288456",2020-06-24,TRUE,2,TRUE,"FR 4404288340",1,1,2022-09-26,"2022-09-26 00:00:00.000","2023-03-24 00:00:00.000",179,6179.2,"4.816480","3.601173","2023-03-24 00:00:00.000","171",0,"663","+ ORBESEAL",2022-10-03 07:54:00,2023-02-01,"",TRUE
"2880",3896,1,2022-12-13,416,NA,1,1689,0,NA,"FR4404288524",2021-09-05,TRUE,2,TRUE,"FR 4404288406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2881",3897,3,2022-12-12,351,NA,0,1820,0,"","FR4404288438",2020-02-09,TRUE,2,FALSE,"FR 4404288317",1,1,2022-02-09,"2022-02-10 00:00:00.000","2023-01-27 00:00:00.000",351,9397,"5.255710","3.481079","2023-01-27 00:00:00.000","NULL",1,"594","+ ORBESEAL",2022-02-16 14:20:00,2023-02-01,"",TRUE
"2882",3898,2,2022-12-12,412,NA,0,1679,0,"","FR4404288522",2021-08-25,TRUE,2,TRUE,"FR 4404288409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2883",3899,2,2022-12-15,392,NA,1,1665,0,NA,"FR4404288519",2021-08-07,TRUE,2,TRUE,"FR 4404288262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2884",3900,6,2022-12-16,414,NA,1,1904,0,NA,"FR4404288286",2017-05-25,TRUE,2,FALSE,"FR 4404288194",4,4,2022-07-16,"2022-07-16 00:00:00.000","2024-01-29 00:00:00.000",562,19354.9,"4.739182","3.700994","2024-01-29 00:00:00.000","NULL",1,"236",NA,2022-07-20 10:35:00,NA,NA,FALSE
"2885",3901,1,2022-12-16,407,NA,1,1956,0,NA,"FR4404288459",2020-07-26,TRUE,2,FALSE,"FR 4404288348",1,1,2022-10-20,"2022-10-21 00:00:00.000","2023-09-08 00:00:00.000",322,10581.1,"4.527863","3.346501","2023-09-08 00:00:00.000","42",0,"673","",2022-10-27 21:14:00,NA,NA,FALSE
"2886",3902,1,2022-12-19,416,NA,1,1675,0,NA,"FR4404288521",2021-08-17,TRUE,2,TRUE,"FR 4404288407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-01,"",TRUE
"2887",3903,1,2022-12-19,417,NA,1,1883,0,NA,"FR4404288401",2019-06-07,TRUE,2,TRUE,"FR 4404288287",2,2,2022-05-31,"2022-05-31 00:00:00.000","2023-02-13 00:00:00.000",258,8508.5,"4.152857","3.400231","2023-02-13 00:00:00.000","219",0,"380","",2022-06-07 14:21:00,2023-02-06,"",TRUE
"2888",3904,1,2022-12-19,404,NA,1,1957,0,NA,"FR4404288408",2019-08-02,TRUE,2,TRUE,"FR 4404659023",2,2,2022-10-24,"2022-10-24 00:00:00.000","2023-08-28 00:00:00.000",308,12796.5,"5.004271","3.380938","2023-08-28 00:00:00.000","124",0,"387","",2022-10-28 09:53:00,NA,NA,FALSE
"2889",3905,1,2022-12-21,118,NA,1,1914,0,NA,"FR4404288341",2018-05-08,TRUE,2,TRUE,"FR 4404288154",3,3,2022-08-13,"2022-08-14 00:00:00.000","2023-06-28 00:00:00.000",318,12427.4,"4.107420","3.339458","2023-06-28 00:00:00.000","88",0,"309","",2022-08-18 07:31:00,2023-02-28,"",TRUE
"2890",3906,2,2022-12-21,404,NA,1,1942,0,NA,"FR4404288349",2018-07-30,TRUE,2,TRUE,"FR 4404288140",3,3,2022-09-30,"2022-09-30 00:00:00.000","2023-08-18 00:00:00.000",322,13862.2,"4.518482","3.425108","2023-08-18 00:00:00.000","63",0,"317","",2022-10-07 15:04:00,NA,NA,FALSE
"2891",3907,1,2022-12-21,415,NA,1,1960,0,NA,"FR4404288479",2020-11-05,TRUE,2,FALSE,"FR 4404288310",1,1,2022-10-27,"2022-10-28 00:00:00.000","2023-08-18 00:00:00.000",294,11115.6,"3.521830","3.320440","2023-08-18 00:00:00.000","68",0,"914","",2022-11-03 15:57:00,NA,NA,FALSE
"2892",3908,1,2022-12-22,416,NA,1,1685,0,NA,"FR4404288523",2021-08-30,TRUE,2,FALSE,"FR 4404288404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-01,"",TRUE
"2893",3909,2,2022-12-23,412,NA,1,1691,0,NA,"FR4404288525",2021-09-05,TRUE,2,TRUE,"FR 4404288346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-01,"",TRUE
"2894",3910,2,2022-12-23,419,NA,1,1946,0,NA,"FR4404288289",2017-06-26,TRUE,2,FALSE,"FR 4950954269",4,5,2022-10-06,"2022-10-06 00:00:00.000","2023-09-05 00:00:00.000",334,13307.6,"4.045880","3.385701","2023-09-05 00:00:00.000","NULL",1,"242","",2022-10-13 08:54:00,2023-04-06,"A COULER -> Attendre !",TRUE
"2895",3911,1,2022-12-23,386,NA,1,1949,0,NA,"FR4404288407",2019-08-01,TRUE,2,FALSE,"FR 4404288302",2,2,2022-10-14,"2022-10-15 00:00:00.000","2023-08-25 00:00:00.000",314,14283.2,"3.011746","2.985873","2023-08-25 00:00:00.000","60",0,"386","",2022-10-21 18:20:00,NA,NA,FALSE
"2896",3912,6,2022-12-26,414,NA,1,1871,0,NA,"FR4404288392",2019-03-03,TRUE,2,TRUE,"FR 4404288178",2,2,2022-05-11,"2022-05-11 00:00:00.000","2023-01-27 00:00:00.000",261,8646.6,"4.312519","3.325076","2023-01-27 00:00:00.000","252",0,"371","+ ORBESEAL",2022-05-18 07:38:00,2023-02-06,"",TRUE
"2897",3913,1,2022-12-27,118,NA,1,1970,0,NA,"FR4404288388",2019-02-21,TRUE,2,FALSE,"FR 4404288213",2,2,2022-11-06,"2022-11-07 00:00:00.000","2023-09-22 00:00:00.000",319,12189.4,"5.395062","3.617031","2023-09-22 00:00:00.000","NULL",1,"366","",2022-11-14 09:02:00,2023-08-21,"",TRUE
"2898",3914,2,2022-12-27,404,NA,1,1908,0,NA,"FR4404288409",2019-08-02,TRUE,2,TRUE,"FR 4404659023",2,2,2022-07-29,"2022-07-29 00:00:00.000","2023-08-11 00:00:00.000",378,14150.7,"5.490765","3.401029","2023-08-11 00:00:00.000","48",0,"388","+ ORBESEAL",2022-08-02 08:04:00,2023-02-01,"",TRUE
"2899",3915,6,2022-12-29,414,NA,1,1898,0,NA,"FR4401572222",2016-08-25,TRUE,2,FALSE,"FR 4401572089",4,4,2022-07-05,"2022-07-05 00:00:00.000","2023-07-31 00:00:00.000",391,13696.5,"4.895816","3.463367","2023-07-31 00:00:00.000","NULL",1,"342",NA,2022-07-10 07:40:00,2023-03-29,"",TRUE
"2900",3916,3,2022-12-30,401,NA,1,1679,0,NA,"FR4404288522",2021-08-25,TRUE,2,TRUE,"FR 4404288409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"2901",3917,2,2023-01-03,118,NA,1,1947,0,NA,"FR4404288390",2019-02-26,TRUE,2,FALSE,"FR 4404288174",2,2,2022-10-07,"2022-10-07 00:00:00.000","2023-08-18 00:00:00.000",315,11603,"4.348322","3.528797","2023-08-18 00:00:00.000","NULL",1,"369","",2022-10-11 18:29:00,NA,NA,FALSE
"2902",3918,1,2023-01-03,416,NA,1,1974,0,NA,"FR4404288462",2020-08-26,TRUE,2,FALSE,"FR 4404288343",1,1,2022-11-10,"2022-11-10 00:00:00.000","2023-06-06 00:00:00.000",208,7333.4,"4.097607","3.382009","2023-06-06 00:00:00.000","NULL",1,"701","+ ORBESEAL",2022-11-15 07:07:00,NA,NA,FALSE
"2903",3919,3,2023-01-03,355,NA,1,1665,0,NA,"FR4404288519",2021-08-07,TRUE,2,TRUE,"FR 4404288262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,"",TRUE
"2904",3920,2,2023-01-03,409,NA,1,1689,0,NA,"FR4404288524",2021-09-05,TRUE,2,TRUE,"FR 4404288406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-01,"",TRUE
"2905",3921,7,2023-01-06,414,NA,1,1904,0,NA,"FR4404288286",2017-05-25,TRUE,2,FALSE,"FR 4404288194",4,4,2022-07-16,"2022-07-16 00:00:00.000","2024-01-29 00:00:00.000",562,19354.9,"4.739182","3.700994","2024-01-29 00:00:00.000","NULL",1,"236",NA,2022-07-20 10:35:00,2023-03-13,"",TRUE
"2906",3922,1,2023-01-06,307,NA,1,1964,0,NA,"FR4404288470",2020-09-23,TRUE,2,TRUE,"FR 4404288283",1,1,2022-11-02,"2022-11-03 00:00:00.000","2023-12-15 00:00:00.000",407,11605.4,"4.680368","3.514004","2023-12-15 00:00:00.000","67",0,"712","Orbenor + Orbeseal 4 Q",2022-11-09 07:54:00,NA,NA,FALSE
"2907",3923,4,2023-01-07,104,NA,1,1615,0,NA,"FR4404288509",2021-06-12,TRUE,2,FALSE,"FR 4404288401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-08,"",TRUE
"2908",3924,1,2023-01-07,405,NA,1,1975,0,NA,"FR4404288358",2018-09-10,TRUE,2,TRUE,"FR 4404288243",3,3,2022-11-11,"2022-11-12 00:00:00.000","2023-09-08 00:00:00.000",300,13070.9,"5.040465","3.600797","2023-09-08 00:00:00.000","33",0,"328","",2022-11-18 20:21:00,NA,NA,FALSE
"2909",3925,2,2023-01-09,407,NA,1,1956,0,NA,"FR4404288459",2020-07-26,TRUE,2,FALSE,"FR 4404288348",1,1,2022-10-20,"2022-10-21 00:00:00.000","2023-09-08 00:00:00.000",322,10581.1,"4.527863","3.346501","2023-09-08 00:00:00.000","42",0,"673","",2022-10-27 21:14:00,NA,NA,FALSE
"2910",3926,1,2023-01-09,407,NA,1,1972,0,NA,"FR4404288468",2020-09-18,TRUE,2,TRUE,"FR 4404288139",1,1,2022-11-07,"2022-11-08 00:00:00.000","2023-10-07 00:00:00.000",333,9962,"4.615885","3.408738","2023-10-07 00:00:00.000","59",0,"710","",2022-11-15 09:00:00,2023-02-28,"",TRUE
"2911",3927,3,2023-01-10,410,NA,1,1942,0,NA,"FR4404288349",2018-07-30,TRUE,2,TRUE,"FR 4404288140",3,3,2022-09-30,"2022-09-30 00:00:00.000","2023-08-18 00:00:00.000",322,13862.2,"4.518482","3.425108","2023-08-18 00:00:00.000","63",0,"317","",2022-10-07 15:04:00,2023-02-28,"",TRUE
"2912",3928,2,2023-01-10,410,NA,1,1957,0,NA,"FR4404288408",2019-08-02,TRUE,2,TRUE,"FR 4404659023",2,2,2022-10-24,"2022-10-24 00:00:00.000","2023-08-28 00:00:00.000",308,12796.5,"5.004271","3.380938","2023-08-28 00:00:00.000","124",0,"387","",2022-10-28 09:53:00,NA,NA,FALSE
"2913",3929,3,2023-01-11,118,NA,1,1902,0,NA,"FR4401572219",2016-07-24,TRUE,2,TRUE,"FR 4401572140",4,4,2022-07-06,"2022-07-07 00:00:00.000","2023-08-18 00:00:00.000",407,16842.4,"5.269803","3.111078","2023-08-18 00:00:00.000","62",0,"343","",2022-07-13 13:23:00,2023-02-28,"",TRUE
"2914",3930,2,2023-01-12,389,NA,1,1960,0,NA,"FR4404288479",2020-11-05,TRUE,2,FALSE,"FR 4404288310",1,1,2022-10-27,"2022-10-28 00:00:00.000","2023-08-18 00:00:00.000",294,11115.6,"3.521830","3.320440","2023-08-18 00:00:00.000","68",0,"914","",2022-11-03 15:57:00,2023-02-28,"",TRUE
"2915",3931,1,2023-01-12,118,NA,1,1932,0,NA,"FR4954409921",2018-06-30,TRUE,2,TRUE,"FR 4954409661",3,3,2022-09-20,"2022-09-20 00:00:00.000","2023-08-18 00:00:00.000",332,15415.1,"4.101801","3.338588","2023-08-18 00:00:00.000","67",0,"479","",2022-09-27 08:54:00,2023-03-29,"",TRUE
