AniId,RemLactation_LacNumber,CalculatedLactationCycle,LacCalvingDate,LacId,LacRemarks,LacColostrumDate,milk_production_start_date,milk_production_end_date,lactation_duration,total_milk_production,avg_daily_yield,early_lactation_yield,mid_lactation_yield,delta_early_mid_yield,mean_fat_percent,mean_protein_percent,dry_off_date,dry_off_interval,AniLifeNumber
843,2,2,2024-09-13 00:00:00.000,2379,NULL,2024-09-20 12:23:00.000,2024-09-13 00:00:00.000,2024-09-19 00:00:00.000,6,227.184466,39.000000,227.184462,0.000000,-227.184462,3.721428,4.370000,2024-09-19 00:00:00.000,NULL,FR 4404288517
844,1,1,2023-08-13 00:00:00.000,2134,NULL,2023-08-20 13:03:00.000,2023-08-14 00:00:00.000,2023-09-13 00:00:00.000,30,906.601941,31.126666,849.902897,56.699028,-793.203869,4.292258,3.490967,2023-09-13 00:00:00.000,NULL,FR 4404288518
848,1,1,2023-10-05 00:00:00.000,2180,probleme dessous mamelle dermatite trayon en sang   Reforme,2023-10-15 10:40:00.000,2023-10-05 00:00:00.000,2023-12-16 00:00:00.000,72,2674.174757,38.255555,994.466006,1679.708713,685.242707,3.848611,3.481805,2023-12-16 00:00:00.000,NULL,FR 4404288519
852,1,1,2023-08-28 00:00:00.000,2154,,2023-09-08 10:49:00.000,2023-09-01 00:00:00.000,2024-06-14 00:00:00.000,287,11341.165048,40.701742,825.145619,2440.388316,1615.242697,3.569791,3.117361,2024-06-14 00:00:00.000,62,FR 4404288521
852,2,2,2024-08-14 00:00:00.000,2347,NULL,2024-08-21 13:09:00.000,2024-08-15 00:00:00.000,2024-09-18 00:00:00.000,34,1299.902912,39.379411,1021.165038,278.737861,-742.427177,3.729714,3.495428,2024-09-18 00:00:00.000,NULL,FR 4404288521
855,1,1,2024-01-22 00:00:00.000,2247,NULL,2024-01-29 14:44:00.000,2024-01-22 00:00:00.000,2024-09-19 00:00:00.000,241,9150.097087,39.106224,802.330081,2374.757252,1572.427171,4.984793,3.264380,2024-09-19 00:00:00.000,NULL,FR 4404288522
857,1,1,2023-09-28 00:00:00.000,2179,NULL,2023-10-05 22:16:00.000,2023-09-30 00:00:00.000,2023-11-08 00:00:00.000,39,866.116504,22.874358,559.417462,306.699024,-252.718438,4.363750,3.639500,2023-11-08 00:00:00.000,NULL,FR 4404288523
859,1,1,2023-10-11 00:00:00.000,2184,+ ORBESEAL,2023-10-18 07:29:00.000,2023-10-11 00:00:00.000,2024-06-28 00:00:00.000,261,6701.456310,26.446360,551.650471,1607.766961,1056.116490,5.475496,3.579160,2024-06-28 00:00:00.000,67,FR 4404288524
859,2,2,2024-09-03 00:00:00.000,2354,NULL,2024-09-14 06:50:00.000,2024-09-03 00:00:00.000,2024-09-19 00:00:00.000,16,491.941747,31.668750,491.941737,0.000000,-491.941737,4.622941,3.899411,2024-09-19 00:00:00.000,NULL,FR 4404288524
860,1,1,2023-09-25 00:00:00.000,2175,NULL,2023-10-03 08:31:00.000,2023-09-26 00:00:00.000,2024-09-19 00:00:00.000,359,14454.757281,41.471866,897.961151,2509.805795,1611.844644,4.602972,3.456750,2024-09-19 00:00:00.000,NULL,FR 4404288525
861,1,1,2023-08-31 00:00:00.000,2157,+ ORBESEAL,2023-09-05 11:43:00.000,2023-08-31 00:00:00.000,2024-08-09 00:00:00.000,344,12804.077669,38.337790,831.165032,2217.281523,1386.116491,4.556753,3.286376,2024-08-09 00:00:00.000,36,FR 4404288526
