AniLifeNumber,Month,mdpMonthlyMilkYield_Liters
FR 4404288176,2016-12,760.030776
FR 4404288177,2016-12,67.036893
FR 4404288180,2016-12,378.944660
FR 4404288185,2016-12,635.826310
FR 4404658920,2016-12,1059.927766
FR 4404658938,2016-12,936.188834
FR 4404658982,2016-12,566.089320
FR 4404659023,2016-12,973.524660
FR 4404659034,2016-12,789.638737
FR 4454691592,2016-12,1115.419417
FR 4454691593,2016-12,1079.480194
FR 4912264927,2016-12,768.503495
FR 4935590346,2016-12,223.083883
FR 4945368325,2016-12,707.890970
FR 4947438444,2016-12,19.552427
FR 4950954269,2016-12,993.263300
FR 4950954270,2016-12,683.217669
FR 4954667338,2016-12,600.445728
FR 4956691421,2016-12,655.378737
FR 4958880362,2016-12,870.827864
FR 4958880363,2016-12,745.040582
FR 4963097404,2016-12,1251.727766
FR 4968695856,2016-12,741.595631
FR 4404288019,2017-01,744.202621
FR 4404288028,2017-01,649.326796
FR 4404288029,2017-01,676.048446
FR 4404288045,2017-01,583.779611
FR 4404288050,2017-01,793.549223
FR 4404288063,2017-01,861.982718
FR 4404288068,2017-01,1359.638543
FR 4404288069,2017-01,849.413300
FR 4404288073,2017-01,1033.392330
FR 4404288075,2017-01,995.125436
FR 4404288079,2017-01,267.030291
FR 4404288080,2017-01,1007.229320
FR 4404288081,2017-01,707.611650
FR 4404288082,2017-01,751.651165
FR 4404288083,2017-01,809.470485
FR 4404288088,2017-01,950.341067
FR 4404288094,2017-01,763.103300
FR 4404288097,2017-01,963.282912
FR 4404288098,2017-01,1016.633106
FR 4404288100,2017-01,927.716116
FR 4404288101,2017-01,1192.791165
FR 4404288102,2017-01,852.858252
FR 4404288105,2017-01,1309.733300
FR 4404288106,2017-01,470.561747
FR 4404288109,2017-01,963.841553
FR 4404288110,2017-01,806.397961
FR 4404288111,2017-01,887.307766
FR 4404288112,2017-01,1168.117864
FR 4404288115,2017-01,63.033300
FR 4404288116,2017-01,1103.687961
FR 4404288120,2017-01,1409.916213
FR 4404288121,2017-01,1092.515145
FR 4404288122,2017-01,750.254563
FR 4404288126,2017-01,990.376990
FR 4404288127,2017-01,1134.133883
FR 4404288128,2017-01,777.721067
FR 4404288129,2017-01,510.318349
FR 4404288130,2017-01,916.543300
FR 4404288131,2017-01,498.959320
FR 4404288132,2017-01,128.487378
FR 4404288134,2017-01,1079.293980
FR 4404288136,2017-01,1163.276310
FR 4404288137,2017-01,1215.695436
FR 4404288138,2017-01,1067.934951
FR 4404288139,2017-01,654.261456
FR 4404288140,2017-01,324.197864
FR 4404288141,2017-01,1270.162912
FR 4404288143,2017-01,799.135631
FR 4404288145,2017-01,712.453203
FR 4404288146,2017-01,646.161165
FR 4404288149,2017-01,818.781165
FR 4404288150,2017-01,611.246116
FR 4404288151,2017-01,635.733203
FR 4404288153,2017-01,552.868155
FR 4404288154,2017-01,763.382621
FR 4404288155,2017-01,981.811165
FR 4404288156,2017-01,809.004951
FR 4404288157,2017-01,803.884077
FR 4404288158,2017-01,828.371165
FR 4404288159,2017-01,841.592330
FR 4404288161,2017-01,682.100388
FR 4404288162,2017-01,959.465533
FR 4404288163,2017-01,1127.243980
FR 4404288164,2017-01,976.038543
FR 4404288165,2017-01,512.180485
FR 4404288167,2017-01,1058.531165
FR 4404288168,2017-01,1187.390970
FR 4404288169,2017-01,1054.806893
FR 4404288172,2017-01,138.170485
FR 4404288174,2017-01,928.833398
FR 4404288175,2017-01,911.701747
FR 4404288176,2017-01,1162.065922
FR 4404288177,2017-01,993.356407
FR 4404288180,2017-01,733.588446
FR 4404288183,2017-01,161.074757
FR 4404288185,2017-01,844.757961
FR 4404658920,2017-01,971.196990
FR 4404658938,2017-01,769.434563
FR 4404658982,2017-01,958.720679
FR 4404659023,2017-01,1236.365145
FR 4404659034,2017-01,840.568155
FR 4454691592,2017-01,999.129029
FR 4454691593,2017-01,1404.422912
FR 4912264927,2017-01,744.854368
FR 4945368325,2017-01,628.843300
FR 4950954269,2017-01,814.870679
FR 4950954270,2017-01,564.040970
FR 4954667338,2017-01,91.337766
FR 4956691421,2017-01,605.473495
FR 4958880362,2017-01,794.573398
FR 4958880363,2017-01,619.160194
FR 4963097404,2017-01,1058.903592
FR 4968695856,2017-01,137.425631
FR 4404288019,2017-02,457.061262
FR 4404288028,2017-02,517.580679
FR 4404288029,2017-02,649.792330
FR 4404288045,2017-02,523.446407
FR 4404288050,2017-02,1236.923786
FR 4404288063,2017-02,632.846893
FR 4404288068,2017-02,1068.493592
FR 4404288069,2017-02,666.365339
FR 4404288073,2017-02,948.665145
FR 4404288075,2017-02,862.075825
FR 4404288079,2017-02,1009.277669
FR 4404288080,2017-02,846.433883
FR 4404288081,2017-02,464.602912
FR 4404288082,2017-02,690.666213
FR 4404288083,2017-02,722.415631
FR 4404288088,2017-02,775.952038
FR 4404288094,2017-02,534.526116
FR 4404288097,2017-02,788.242135
FR 4404288098,2017-02,840.661262
FR 4404288100,2017-02,797.459708
FR 4404288101,2017-02,951.644563
FR 4404288102,2017-02,678.003689
FR 4404288105,2017-02,1107.877766
FR 4404288106,2017-02,91.803300
FR 4404288109,2017-02,762.265339
FR 4404288110,2017-02,679.772718
FR 4404288111,2017-02,707.704757
FR 4404288112,2017-02,870.083009
FR 4404288115,2017-02,542.998834
FR 4404288116,2017-02,1086.183883
FR 4404288120,2017-02,1302.005436
FR 4404288121,2017-02,930.323106
FR 4404288122,2017-02,547.374854
FR 4404288126,2017-02,795.132038
FR 4404288127,2017-02,916.543300
FR 4404288128,2017-02,629.960582
FR 4404288129,2017-02,402.128252
FR 4404288130,2017-02,790.383592
FR 4404288131,2017-02,965.610582
FR 4404288132,2017-02,383.693106
FR 4404288134,2017-02,990.097669
FR 4404288136,2017-02,1039.630485
FR 4404288137,2017-02,989.725242
FR 4404288138,2017-02,890.287184
FR 4404288139,2017-02,549.702524
FR 4404288141,2017-02,1091.304757
FR 4404288143,2017-02,656.589126
FR 4404288145,2017-02,626.143203
FR 4404288146,2017-02,138.542912
FR 4404288149,2017-02,639.736796
FR 4404288150,2017-02,537.877961
FR 4404288151,2017-02,514.880582
FR 4404288153,2017-02,128.859805
FR 4404288154,2017-02,590.110873
FR 4404288155,2017-02,840.661262
FR 4404288156,2017-02,740.571456
FR 4404288157,2017-02,694.949126
FR 4404288158,2017-02,719.436213
FR 4404288159,2017-02,704.632233
FR 4404288161,2017-02,592.904077
FR 4404288162,2017-02,798.483883
FR 4404288163,2017-02,883.117961
FR 4404288164,2017-02,812.077475
FR 4404288165,2017-02,1047.823883
FR 4404288167,2017-02,839.730194
FR 4404288168,2017-02,1018.309029
FR 4404288169,2017-02,938.050970
FR 4404288172,2017-02,856.768737
FR 4404288174,2017-02,737.219611
FR 4404288175,2017-02,826.509029
FR 4404288176,2017-02,976.597184
FR 4404288177,2017-02,982.183592
FR 4404288178,2017-02,53.908834
FR 4404288180,2017-02,631.915825
FR 4404288181,2017-02,361.813009
FR 4404288183,2017-02,433.691456
FR 4404288184,2017-02,254.833300
FR 4404288185,2017-02,718.039611
FR 4404288188,2017-02,74.392330
FR 4404658920,2017-02,810.773980
FR 4404658938,2017-02,597.838737
FR 4404658982,2017-02,797.459708
FR 4404659023,2017-02,1038.233883
FR 4404659034,2017-02,784.331650
FR 4454691592,2017-02,825.112427
FR 4454691593,2017-02,1164.952233
FR 4912264927,2017-02,616.553203
FR 4945368325,2017-02,544.767864
FR 4950954269,2017-02,584.896893
FR 4950954270,2017-02,16.759223
FR 4956691421,2017-02,527.077572
FR 4958880362,2017-02,660.499611
FR 4958880363,2017-02,466.744368
FR 4963097404,2017-02,801.928834
FR 4404288028,2017-03,512.552912
FR 4404288029,2017-03,746.716504
FR 4404288045,2017-03,521.211844
FR 4404288050,2017-03,1282.173689
FR 4404288063,2017-03,209.117864
FR 4404288068,2017-03,763.568834
FR 4404288069,2017-03,706.959902
FR 4404288073,2017-03,306.693786
FR 4404288075,2017-03,910.398252
FR 4404288079,2017-03,1060.020873
FR 4404288080,2017-03,857.886019
FR 4404288082,2017-03,758.447961
FR 4404288083,2017-03,742.899126
FR 4404288088,2017-03,790.476699
FR 4404288097,2017-03,842.337184
FR 4404288098,2017-03,810.867087
FR 4404288100,2017-03,854.441067
FR 4404288101,2017-03,966.541650
FR 4404288102,2017-03,703.980485
FR 4404288105,2017-03,1159.272718
FR 4404288109,2017-03,528.194854
FR 4404288110,2017-03,681.821067
FR 4404288111,2017-03,704.446019
FR 4404288112,2017-03,938.702718
FR 4404288115,2017-03,903.322135
FR 4404288116,2017-03,1160.669320
FR 4404288120,2017-03,1294.650000
FR 4404288121,2017-03,997.825533
FR 4404288122,2017-03,637.967766
FR 4404288126,2017-03,780.514271
FR 4404288127,2017-03,918.591650
FR 4404288128,2017-03,658.916796
FR 4404288129,2017-03,473.541165
FR 4404288130,2017-03,838.985339
FR 4404288131,2017-03,998.104854
FR 4404288132,2017-03,1143.165242
FR 4404288134,2017-03,1058.624271
FR 4404288136,2017-03,1082.738932
FR 4404288137,2017-03,883.211067
FR 4404288138,2017-03,910.212038
FR 4404288139,2017-03,615.063495
FR 4404288141,2017-03,1138.416796
FR 4404288142,2017-03,586.759029
FR 4404288143,2017-03,698.394077
FR 4404288145,2017-03,597.745631
FR 4404288146,2017-03,43.201553
FR 4404288149,2017-03,595.790388
FR 4404288154,2017-03,547.467961
FR 4404288155,2017-03,843.268252
FR 4404288156,2017-03,754.258155
FR 4404288157,2017-03,595.883495
FR 4404288158,2017-03,740.478349
FR 4404288159,2017-03,763.568834
FR 4404288161,2017-03,630.333009
FR 4404288162,2017-03,856.116990
FR 4404288163,2017-03,818.315631
FR 4404288164,2017-03,837.774951
FR 4404288165,2017-03,1115.046990
FR 4404288167,2017-03,928.181650
FR 4404288168,2017-03,994.194368
FR 4404288169,2017-03,987.490679
FR 4404288170,2017-03,262.747378
FR 4404288171,2017-03,341.236407
FR 4404288172,2017-03,928.926504
FR 4404288174,2017-03,766.827572
FR 4404288175,2017-03,897.083980
FR 4404288176,2017-03,993.077087
FR 4404288177,2017-03,948.292718
FR 4404288178,2017-03,761.892912
FR 4404288180,2017-03,680.052038
FR 4404288181,2017-03,689.548932
FR 4404288182,2017-03,568.975631
FR 4404288183,2017-03,555.382038
FR 4404288184,2017-03,926.785048
FR 4404288185,2017-03,776.976213
FR 4404288186,2017-03,661.989320
FR 4404288187,2017-03,458.550970
FR 4404288188,2017-03,811.332621
FR 4404288191,2017-03,298.779708
FR 4404288192,2017-03,8.379611
FR 4404658920,2017-03,852.578932
FR 4404658938,2017-03,625.119029
FR 4404658982,2017-03,789.452524
FR 4404659023,2017-03,1063.931359
FR 4404659034,2017-03,893.825242
FR 4454691592,2017-03,357.250776
FR 4454691593,2017-03,1186.553009
FR 4912264927,2017-03,546.443786
FR 4945368325,2017-03,595.604174
FR 4950954269,2017-03,591.228155
FR 4956691421,2017-03,590.483300
FR 4958880362,2017-03,672.975922
FR 4963097404,2017-03,880.976504
FR 4968695856,2017-03,731.819417
FR 4404288028,2017-04,399.055728
FR 4404288029,2017-04,685.545339
FR 4404288045,2017-04,490.672815
FR 4404288050,2017-04,1036.744174
FR 4404288068,2017-04,864.775922
FR 4404288069,2017-04,555.940679
FR 4404288075,2017-04,819.246699
FR 4404288079,2017-04,847.737378
FR 4404288080,2017-04,797.366601
FR 4404288082,2017-04,639.643689
FR 4404288083,2017-04,673.255242
FR 4404288088,2017-04,783.214368
FR 4404288097,2017-04,764.499902
FR 4404288098,2017-04,640.947184
FR 4404288100,2017-04,764.593009
FR 4404288101,2017-04,811.425728
FR 4404288102,2017-04,618.601553
FR 4404288105,2017-04,1112.905533
FR 4404288109,2017-04,555.661359
FR 4404288110,2017-04,641.319611
FR 4404288111,2017-04,575.865533
FR 4404288112,2017-04,895.966699
FR 4404288115,2017-04,922.874563
FR 4404288116,2017-04,997.080679
FR 4404288120,2017-04,1111.322718
FR 4404288121,2017-04,897.177087
FR 4404288122,2017-04,610.594368
FR 4404288126,2017-04,691.411067
FR 4404288127,2017-04,824.646893
FR 4404288128,2017-04,639.550582
FR 4404288129,2017-04,188.820582
FR 4404288130,2017-04,766.175825
FR 4404288131,2017-04,903.135922
FR 4404288132,2017-04,1057.972524
FR 4404288133,2017-04,802.487475
FR 4404288134,2017-04,962.072524
FR 4404288136,2017-04,931.347281
FR 4404288137,2017-04,816.453495
FR 4404288138,2017-04,748.020000
FR 4404288139,2017-04,636.012524
FR 4404288141,2017-04,992.797766
FR 4404288142,2017-04,982.462912
FR 4404288143,2017-04,647.371553
FR 4404288145,2017-04,496.166116
FR 4404288146,2017-04,1085.066601
FR 4404288149,2017-04,357.343883
FR 4404288150,2017-04,153.812427
FR 4404288154,2017-04,308.742135
FR 4404288155,2017-04,721.950097
FR 4404288156,2017-04,677.538155
FR 4404288157,2017-04,634.709029
FR 4404288158,2017-04,657.892621
FR 4404288159,2017-04,666.551553
FR 4404288161,2017-04,544.860970
FR 4404288162,2017-04,790.104271
FR 4404288163,2017-04,647.371553
FR 4404288164,2017-04,720.367281
FR 4404288165,2017-04,917.195048
FR 4404288167,2017-04,909.932718
FR 4404288168,2017-04,967.752038
FR 4404288169,2017-04,863.100000
FR 4404288171,2017-04,879.021262
FR 4404288172,2017-04,688.059223
FR 4404288174,2017-04,722.601844
FR 4404288175,2017-04,812.543009
FR 4404288176,2017-04,910.584466
FR 4404288177,2017-04,855.744563
FR 4404288178,2017-04,887.121553
FR 4404288180,2017-04,573.351650
FR 4404288183,2017-04,499.331747
FR 4404288185,2017-04,550.633592
FR 4404288188,2017-04,880.231650
FR 4404288190,2017-04,58.657281
FR 4404288192,2017-04,761.241165
FR 4404288193,2017-04,383.134466
FR 4404658920,2017-04,817.477669
FR 4404658938,2017-04,515.346116
FR 4404658982,2017-04,707.518543
FR 4404659023,2017-04,731.912524
FR 4404659034,2017-04,810.308446
FR 4454691593,2017-04,1071.938543
FR 4912264927,2017-04,454.268058
FR 4945368325,2017-04,562.085728
FR 4950954269,2017-04,505.011262
FR 4954667338,2017-04,882.093786
FR 4956691421,2017-04,554.264757
FR 4958880362,2017-04,604.076893
FR 4963097404,2017-04,792.804368
FR 4968695856,2017-04,1110.577864
FR 4404288019,2017-05,75.137184
FR 4404288028,2017-05,367.771844
FR 4404288029,2017-05,711.615242
FR 4404288045,2017-05,67.967961
FR 4404288050,2017-05,1067.934951
FR 4404288068,2017-05,897.363300
FR 4404288069,2017-05,512.180485
FR 4404288075,2017-05,801.649514
FR 4404288079,2017-05,801.183980
FR 4404288080,2017-05,783.773009
FR 4404288082,2017-05,631.170970
FR 4404288083,2017-05,666.458446
FR 4404288088,2017-05,642.902427
FR 4404288097,2017-05,795.970000
FR 4404288098,2017-05,535.457184
FR 4404288100,2017-05,762.730873
FR 4404288101,2017-05,778.838349
FR 4404288102,2017-05,599.421553
FR 4404288105,2017-05,1072.962718
FR 4404288109,2017-05,607.056310
FR 4404288110,2017-05,639.457475
FR 4404288111,2017-05,564.692718
FR 4404288112,2017-05,926.412621
FR 4404288115,2017-05,926.971262
FR 4404288116,2017-05,920.546893
FR 4404288120,2017-05,1090.001262
FR 4404288121,2017-05,863.100000
FR 4404288122,2017-05,667.389514
FR 4404288126,2017-05,682.193495
FR 4404288127,2017-05,787.031747
FR 4404288128,2017-05,600.352621
FR 4404288130,2017-05,679.958932
FR 4404288131,2017-05,798.204563
FR 4404288132,2017-05,1077.711165
FR 4404288133,2017-05,1176.869902
FR 4404288134,2017-05,987.304466
FR 4404288136,2017-05,952.948058
FR 4404288137,2017-05,811.984368
FR 4404288138,2017-05,798.204563
FR 4404288139,2017-05,635.733203
FR 4404288141,2017-05,942.799417
FR 4404288142,2017-05,855.744563
FR 4404288143,2017-05,682.659029
FR 4404288145,2017-05,153.160679
FR 4404288146,2017-05,1164.952233
FR 4404288150,2017-05,1218.209320
FR 4404288155,2017-05,594.021359
FR 4404288156,2017-05,705.563300
FR 4404288157,2017-05,581.172621
FR 4404288158,2017-05,599.607766
FR 4404288159,2017-05,637.036699
FR 4404288161,2017-05,176.623592
FR 4404288162,2017-05,820.457087
FR 4404288163,2017-05,706.494368
FR 4404288164,2017-05,735.823009
FR 4404288165,2017-05,891.683786
FR 4404288167,2017-05,964.493300
FR 4404288168,2017-05,991.866699
FR 4404288169,2017-05,899.039223
FR 4404288171,2017-05,878.555728
FR 4404288172,2017-05,194.872524
FR 4404288174,2017-05,782.748834
FR 4404288175,2017-05,772.227766
FR 4404288176,2017-05,904.998058
FR 4404288177,2017-05,841.219902
FR 4404288178,2017-05,933.209417
FR 4404288180,2017-05,667.855048
FR 4404288183,2017-05,505.383689
FR 4404288185,2017-05,595.604174
FR 4404288188,2017-05,884.421456
FR 4404288190,2017-05,741.874951
FR 4404288192,2017-05,941.495922
FR 4404288193,2017-05,978.552427
FR 4404288194,2017-05,109.959126
FR 4404288195,2017-05,98.972524
FR 4404658920,2017-05,719.808640
FR 4404658938,2017-05,464.975339
FR 4404658982,2017-05,737.685145
FR 4404659023,2017-05,817.756990
FR 4404659034,2017-05,882.186893
FR 4454691592,2017-05,1225.657864
FR 4454691593,2017-05,1025.943786
FR 4912264927,2017-05,466.092621
FR 4945368325,2017-05,467.675436
FR 4947438444,2017-05,214.238737
FR 4950954269,2017-05,129.697766
FR 4954667338,2017-05,1461.869805
FR 4956691421,2017-05,554.916504
FR 4958880362,2017-05,611.711650
FR 4963097404,2017-05,755.189223
FR 4968695856,2017-05,1042.516796
FR 4404288019,2017-06,797.180388
FR 4404288028,2017-06,151.670970
FR 4404288029,2017-06,778.465922
FR 4404288050,2017-06,976.317864
FR 4404288068,2017-06,909.280970
FR 4404288069,2017-06,215.262912
FR 4404288075,2017-06,722.136310
FR 4404288079,2017-06,748.671747
FR 4404288080,2017-06,676.141553
FR 4404288082,2017-06,639.085048
FR 4404288083,2017-06,598.118058
FR 4404288088,2017-06,601.563009
FR 4404288094,2017-06,481.362135
FR 4404288097,2017-06,779.676310
FR 4404288098,2017-06,181.744466
FR 4404288100,2017-06,692.435242
FR 4404288101,2017-06,685.545339
FR 4404288102,2017-06,330.622233
FR 4404288105,2017-06,931.905922
FR 4404288109,2017-06,568.789417
FR 4404288110,2017-06,607.801165
FR 4404288111,2017-06,446.353980
FR 4404288112,2017-06,791.128446
FR 4404288115,2017-06,873.155533
FR 4404288116,2017-06,763.755048
FR 4404288120,2017-06,1063.372718
FR 4404288121,2017-06,806.025533
FR 4404288122,2017-06,628.657087
FR 4404288126,2017-06,433.970776
FR 4404288127,2017-06,689.269611
FR 4404288128,2017-06,513.577087
FR 4404288130,2017-06,365.164854
FR 4404288131,2017-06,715.432621
FR 4404288132,2017-06,1030.878446
FR 4404288133,2017-06,1055.272427
FR 4404288134,2017-06,953.413592
FR 4404288136,2017-06,950.061747
FR 4404288137,2017-06,833.771359
FR 4404288138,2017-06,765.430970
FR 4404288139,2017-06,524.843009
FR 4404288141,2017-06,909.280970
FR 4404288142,2017-06,806.397961
FR 4404288143,2017-06,653.330388
FR 4404288146,2017-06,1047.916990
FR 4404288149,2017-06,474.937766
FR 4404288150,2017-06,1210.388349
FR 4404288154,2017-06,738.057572
FR 4404288156,2017-06,624.094854
FR 4404288157,2017-06,250.271067
FR 4404288159,2017-06,660.592718
FR 4404288162,2017-06,818.967378
FR 4404288163,2017-06,751.185631
FR 4404288164,2017-06,706.680582
FR 4404288165,2017-06,822.691650
FR 4404288167,2017-06,851.275436
FR 4404288168,2017-06,953.227378
FR 4404288169,2017-06,830.140194
FR 4404288171,2017-06,799.135631
FR 4404288174,2017-06,768.037961
FR 4404288175,2017-06,745.133689
FR 4404288176,2017-06,816.174174
FR 4404288177,2017-06,799.787378
FR 4404288178,2017-06,850.623689
FR 4404288180,2017-06,668.693009
FR 4404288183,2017-06,511.621844
FR 4404288185,2017-06,618.973980
