"","InsId","InsSirId","InsNumber","InsRemarks","InsDate","InsLacId","AniId","AniLifeNumber","AniBirthday","AniGenId","AniMotherLifeNumber","RemLactation_LacNumber","CalculatedLactationCycle","LacCalvingDate","LacRemarks","LacColostrumDate","dry_off_date","dry_off_interval","AniActive","category","customer_id","date","entry_code","entry_date","exit_code","exit_date","month","year"
"39",12,NA,1,"",2015-11-02,228,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",13,NA,2,"",2015-11-25,228,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",271,NA,1,"",2016-11-17,387,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",294,NA,2,"",2016-12-10,387,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",307,NA,3,"",2017-01-04,387,15,"FR4404288075",2011-04-16,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1630,NA,1,"",2017-12-27,621,15,"FR4404288075",2011-04-16,2,"",5,2,2017-10-16,"",2017-10-20,2018-09-11,63,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"45",1641,NA,2,"",2018-01-09,621,15,"FR4404288075",2011-04-16,2,"",5,2,2017-10-16,"",2017-10-20,2018-09-11,63,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"46",1663,NA,3,"",2018-02-01,621,15,"FR4404288075",2011-04-16,2,"",5,2,2017-10-16,"",2017-10-20,2018-09-11,63,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"47",1965,NA,1,"",2019-01-21,799,15,"FR4404288075",2011-04-16,2,"",6,3,2018-11-13,"",2018-11-20,2020-03-08,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"48",1989,NA,2,"",2019-02-14,799,15,"FR4404288075",2011-04-16,2,"",6,3,2018-11-13,"",2018-11-20,2020-03-08,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"49",2099,NA,3,"",2019-05-20,799,15,"FR4404288075",2011-04-16,2,"",6,3,2018-11-13,"",2018-11-20,2020-03-08,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"50",2147,NA,4,"",2019-07-22,799,15,"FR4404288075",2011-04-16,2,"",6,3,2018-11-13,"",2018-11-20,2020-03-08,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"51",2215,NA,5,"",2019-09-27,799,15,"FR4404288075",2011-04-16,2,"",6,3,2018-11-13,"",2018-11-20,2020-03-08,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-04-16,"B",2020-06-29,1,2015
"52",14,NA,1,"",2016-01-28,231,16,"FR4404288078",2011-06-05,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",15,NA,2,"",2016-02-17,231,16,"FR4404288078",2011-06-05,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",16,NA,3,"",2016-03-10,231,16,"FR4404288078",2011-06-05,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",17,NA,1,"",2015-10-28,234,17,"FR4404288079",2011-06-18,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",18,NA,2,"",2015-11-20,234,17,"FR4404288079",2011-06-18,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",19,NA,3,"",2016-02-10,234,17,"FR4404288079",2011-06-18,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",20,NA,4,"",2016-04-12,234,17,"FR4404288079",2011-06-18,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",477,NA,2,"",2017-07-22,480,17,"FR4404288079",2011-06-18,2,"",4,1,2017-01-21,"Reforme. problème de pattes",2017-01-26,2017-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-06-18,"B",2018-03-26,1,2015
"60",506,NA,3,"",2017-08-14,480,17,"FR4404288079",2011-06-18,2,"",4,1,2017-01-21,"Reforme. problème de pattes",2017-01-26,2017-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-06-18,"B",2018-03-26,1,2015
"61",378,NA,1,"",2017-04-07,480,17,"FR4404288079",2011-06-18,2,"",4,1,2017-01-21,"Reforme. problème de pattes",2017-01-26,2017-08-25,NA,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,"N",2011-06-18,"B",2018-03-26,1,2015
"62",1637,NA,1,"",2018-01-02,628,18,"FR4404288080",2011-07-01,2,"FR 4404288024",5,2,2017-10-21,"+ Obturateur Mamiseal",2017-10-26,2018-09-05,62,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"63",1654,NA,2,"",2018-01-26,628,18,"FR4404288080",2011-07-01,2,"FR 4404288024",5,2,2017-10-21,"+ Obturateur Mamiseal",2017-10-26,2018-09-05,62,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"64",1539,NA,2,"",2017-10-12,418,18,"FR4404288080",2011-07-01,2,"FR 4404288024",4,1,2016-11-01,"ordon  610008232",2016-11-08,2017-08-14,68,FALSE,"VL","16450bc2-f930-4052-a3f7-a602646e64cc",2015-01-01,NA,NA,"M",2020-06-17,1,2015
"65",21,NA,1,"",2016-01-07,237,18,"FR4404288080",2011-07-01,2,"FR 4404288024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",22,NA,2,"",2016-01-28,237,18,"FR4404288080",2011-07-01,2,"FR 4404288024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
