"","AniLifeNumber","lac_number_calculated","AniBirthday","AniActive","milk_production_start_date","milk_production_end_date","last_milk_date","total_milk_prod","mean_fat_percent","mean_protein_percent","dry_off_date","dry_off_interval","still_milking","LacCalvingDate","age_at_first_calving","lactation_duration"
"47","FR4404288050",3,2010-02-15,FALSE,2018-01-10,2018-03-21,2018-03-21,3765.1,4.04219178082192,3.32397260273973,2018-03-21,NA,FALSE,2018-01-10,30,70
"48","FR4404288068",1,2010-11-13,FALSE,2016-11-22,2018-01-02,2018-01-02,12864.2,4.02351219512195,3.3090487804878,2018-01-02,NA,FALSE,2016-11-21,24,406
"49","FR4404288069",2,2010-12-16,FALSE,2017-08-29,2018-08-25,2018-08-25,10827.1,3.58554054054054,3.22943243243243,2018-08-25,114,FALSE,2017-08-28,27,361
"50","FR4404288073",1,2011-02-07,FALSE,2016-12-22,2017-03-10,2017-03-10,2761.1,4.88632911392405,3.30898734177215,2017-03-10,NA,FALSE,2016-12-22,26,78
"51","FR4404288075",2,2011-04-16,FALSE,2017-10-16,2018-09-11,2018-09-11,11571,4.91306784660767,3.4458407079646,2018-09-11,63,FALSE,2017-10-16,24,330
"52","FR4404288075",3,2011-04-16,FALSE,2018-11-13,2020-03-08,2020-03-08,17191.6,5.35622448979592,3.40604081632653,2020-03-08,NA,FALSE,2018-11-13,24,481
"53","FR4404288079",1,2011-06-18,FALSE,2017-01-21,2017-08-25,2017-08-25,6368.2,3.3206976744186,3.36023255813953,2017-08-25,153,FALSE,2017-01-21,26,216
"54","FR4404288080",1,2011-07-01,FALSE,2016-11-02,2017-08-14,2017-08-14,8481.3,5.81678321678322,3.66003496503496,2017-08-14,68,FALSE,2016-11-01,25,285
"55","FR4404288080",2,2011-07-01,FALSE,2017-10-21,2018-09-05,2018-09-05,11731.2,5.59731707317073,3.48621951219512,2018-09-05,62,FALSE,2017-10-21,25,319
"56","FR4404288080",3,2011-07-01,FALSE,2018-11-06,2019-10-28,2019-10-28,11299.9,5.82894736842105,3.69698060941828,2019-10-28,58,FALSE,2018-11-05,25,356
"57","FR4404288080",4,2011-07-01,FALSE,2019-12-25,2020-06-04,2020-06-04,6111.6,5.50737804878049,3.6030487804878,2020-06-04,NA,FALSE,2019-12-25,25,162
"58","FR4404288081",2,2011-07-06,FALSE,2017-07-22,2018-01-02,2018-01-02,6225.3,3.84233128834356,3.39558282208589,2018-01-02,NA,FALSE,2017-07-22,27,164
"59","FR4404288082",1,2011-07-13,FALSE,2016-11-29,2017-08-30,2017-08-30,6611.8,3.95974545454545,3.51250909090909,2017-08-30,NA,FALSE,2016-11-28,24,274
"60","FR4404288088",2,2011-10-01,FALSE,2017-08-23,2018-09-19,2018-09-19,12353.5,3.79803482587065,3.27669154228856,2018-09-19,102,FALSE,2017-08-23,26,392
"61","FR4404288088",3,2011-10-01,FALSE,2018-12-30,2019-08-24,2019-08-24,10301.2,3.49470833333333,3.26470833333333,2019-08-24,NA,FALSE,2018-12-29,26,237
"62","FR4404288094",2,2011-12-19,FALSE,2017-06-08,2018-01-29,2018-01-29,7945.8,4.804625,3.44458333333333,2018-01-29,NA,FALSE,2017-06-05,30,235
"63","FR4404288097",1,2012-01-13,FALSE,2016-12-02,2017-10-11,2017-10-11,8395.9,4.57390476190476,3.45895238095238,2017-10-11,21,FALSE,2016-12-01,31,313
"64","FR4404288097",4,2012-01-13,FALSE,2018-01-10,2019-02-05,2019-02-05,11663.8,4.43793017456359,3.42476309226933,2019-02-05,NA,FALSE,2018-01-10,31,391
"65","FR4404288098",2,2012-01-20,FALSE,2017-06-19,2018-04-12,2018-04-12,8109.4,4.33730263157895,3.61003289473684,2018-04-12,55,FALSE,2017-06-19,27,297
"66","FR4404288098",3,2012-01-20,FALSE,2018-06-06,2019-07-29,2019-07-29,14325.6,4.23075117370892,3.3512441314554,2019-07-29,79,FALSE,2018-06-06,27,418
"67","FR4404288098",4,2012-01-20,FALSE,2019-10-16,2020-08-31,2020-08-31,12196.8,4.31156441717791,3.37469325153374,2020-08-31,58,FALSE,2019-10-16,27,320
"68","FR4404288098",5,2012-01-20,FALSE,2020-10-28,2021-09-17,2021-09-17,13004.2,4.03646341463415,3.40689024390244,2021-09-17,56,FALSE,2020-10-27,27,324
"69","FR4404288098",6,2012-01-20,FALSE,2021-11-12,2022-08-26,2022-08-26,11691.2,4.15058419243986,3.41993127147766,2022-08-26,60,FALSE,2021-11-12,27,287
"70","FR4404288098",7,2012-01-20,FALSE,2022-10-25,2022-11-21,2022-11-21,831.6,4.495,3.5325,2022-11-21,NA,FALSE,2022-10-25,27,27
"71","FR4404288100",2,2012-02-20,FALSE,2017-10-07,2018-06-28,2018-06-28,8932.7,4.56214022140221,3.31217712177122,2018-06-28,13,FALSE,2017-10-07,27,264
"72","FR4404288100",5,2012-02-20,FALSE,2018-09-07,2020-02-17,2020-02-17,18001.2,4.95113594040968,3.24966480446927,2020-02-17,NA,FALSE,2018-09-07,27,528
"73","FR4404288101",1,2012-03-18,FALSE,2016-10-22,2017-08-14,2017-08-14,9788.5,4.09518518518519,3.35861952861953,2017-08-14,56,FALSE,2016-10-22,30,296
"74","FR4404288101",2,2012-03-18,FALSE,2017-10-09,2018-09-05,2018-09-05,10392.1,4.08652941176471,3.39376470588235,2018-09-05,94,FALSE,2017-10-09,30,331
