"AniLifeNumber","avg_early_lactation_yield","avg_mid_lactation_yield","avg_delta_early_mid_yield","avg_daily_yield","avg_total_milk","avg_insem","avg_failed_insem","avg_failed_pregnancies","avg_calving_to_insem","number_lactations","avg_lactation_duration","avg_dry_interval","n_intervals","age_at_first_calving","latest_lactation_date","AniBirthday","AniGenId.x","birth_year","category.x","entry_code","entry_date","exit_code","exit_date","month","year","AniActive","AniGenId.y","age_at_exit","endmilk_to_exit_days","total_insem","total_successes","insem_success_ratio","age_at_first_insem","InsDate","age_first_successful_insem","n_health_problems","recovery_duration","date_last_diagnosis","last_diagnosis","national_number","weight","selling_price","classification","category.y","slaughter_date","cohort","farm"
"FR4401572098",626.50484,1356.893175,730.388335,21.484615,6236.796116,6,5,5,62,1,299,NA,0,24,2013-11-13,2011-10-20,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0.166666666666667,15,2013-02-05,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572099",676.699013,1685.533951,1008.834938,28.202675,8186.990291,3,2,1,71,1,299,NA,0,26,2014-01-31,2011-11-02,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.333333333333333,15,2013-02-18,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572103",590.970858,1784.174725,1193.203867,31.434883,11810.970873,4,3,3,76,1,387,NA,0,24,2013-12-03,2011-11-19,NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.25,14,2013-02-05,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572110",19.514562,0,-19.514562,6.7,19.514563,NA,NA,0,NA,1,3,NA,0,32,2015-01-05,2012-04-30,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,"FR4401572110",271.5,NA,"P-3","D",2015-03-23,"pre-2013","farm5"
"FR4401572112",634.563095,1461.359192,826.796097,24.871962,2583.786407,NA,NA,0,NA,1,107,NA,0,29,2014-11-02,2012-05-09,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,"FR4401572112",286,NA,"P-3","D",2015-02-18,"pre-2013","farm5"
"FR4401572113",665.631056,1247.378609,581.747553,25.619197,8680.679611,3,2,2,110,1,349,NA,0,26,2014-08-13,2012-05-28,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.333333333333333,NA,2014-12-01,NA,0,0,NA,NA,"FR4401572113",252.5,NA,"P-3","D",2015-07-30,"pre-2013","farm5"
"FR4401572114",618.155326,641.747562,23.592236,23.594545,1259.902912,NA,NA,0,NA,1,55,NA,0,31,2015-01-03,2012-05-30,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572121",746.116491,2011.747541,1265.63105,31.261282,11836.796116,7,6,6,105,1,390,NA,0,22,2014-10-18,2012-11-20,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0.142857142857143,NA,2015-01-31,NA,0,0,NA,NA,"FR4401572121",253.4,NA,"P-3","D",2015-11-12,"pre-2013","farm5"
"FR4401572123",786.504839,1217.281532,430.776693,29.069014,2003.786407,NA,NA,0,NA,1,71,NA,0,26,2015-02-17,2012-11-27,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572125",433.883483,0,-433.883483,16.551851,433.883495,NA,NA,0,NA,1,27,NA,0,24,2015-01-03,2012-12-11,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572126",626.019406,197.864074,-428.155332,24.245714,823.883495,NA,NA,0,NA,1,35,NA,0,27,2015-03-25,2012-12-23,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
"FR4401572138",797.961153,2099.514532,1301.553379,31.569387,10512.912621,4,3,2,58,1,343,NA,0,24,2015-07-03,2013-07-01,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.25,NA,2015-08-29,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013-2016","farm5"
"FR4401572141",309.320374,0,-309.320374,12.744,309.320388,NA,NA,0,NA,1,25,NA,0,24,2015-09-08,2013-08-27,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,"FR4401572141",292.4,NA,"P-3","D",2016-03-17,"2013-2016","farm5"
"FR4401572143",588.3495,1417.864048,829.514548,23.135211,3189.514563,2,1,1,58,1,142,NA,0,22,2015-07-25,2013-09-04,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.5,NA,2015-09-20,NA,0,0,NA,NA,"FR4401572143",259.7,NA,"P-3","D",2015-12-15,"2013-2016","farm5"
"FR4401572192",796.7766856,2514.2523982,1717.4757126,38.0009164,11873.1456304,2.2,1.2,1,65.4,5,325.8,60.5,4,30,2022-02-10,2015-04-07,2,2015,"VL",NA,NA,"M",2023-08-26,10,2017,FALSE,2,100,269,11,5,0.454545454545455,32,2017-12-11,32,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013-2016","farm5"
"FR4401572271",928.7378496,2345.475698,1416.7378484,36.6765824,10631.4368928,NA,NA,0,NA,5,303,36.25,4,27,2024-09-19,2018-05-08,2,2018,"VL",NA,NA,NA,NA,8,2020,FALSE,2,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2016-2019","farm5"
"FR4401572283",391.553383,356.990277,-34.563106,14.018181,748.543689,NA,NA,0,NA,1,55,NA,0,25,2020-12-02,2018-10-08,2,2018,"VL",NA,NA,"B",2021-06-09,12,2020,FALSE,2,32,134,0,0,NA,NA,NA,NA,0,0,NA,NA,"FR4401572283",319.1,NA,"P-3","D",2021-06-10,"2016-2019","farm5"
"FR4403902667",1200.097073,2989.029098,1788.932025,44,7176.699029,NA,NA,0,NA,5,168,NA,0,99,2015-03-09,2006-11-22,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,70,2012-10-13,NA,0,0,NA,NA,"FR4403902667",314.8,NA,"P-3","D",2016-03-17,"pre-2013","farm5"
"FR4404288196",1279.708719,2855.145604,1575.436885,36.497734,23457.76699,NA,NA,3,NA,2,662,NA,0,-4,2014-11-14,2015-04-12,NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2013-2016","farm5"
"FR4404288312",960.9708585,2404.62780283333,1443.65694433333,36.586533,10713.8025885,NA,NA,0.833333333333333,NA,6,304.333333333333,44.8,5,-14,2021-08-02,2017-10-09,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"2016-2019","farm5"
"FR4404288379",522.961149,1345.145602,822.184453,21.274625,3398.7864075,NA,NA,1.5,NA,2,171.5,130,1,24009,2020-10-13,0019-01-31,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"pre-2013","farm5"
